draft_id,season,draft_slot,seat_personality,n_picks,mean_pool_rank,median_pool_rank,mean_drift_picks,harvest_picks,mean_abs_drift_picks
walkthrough,2026,1,balanced,13,6.153846153846154,5.0,-1.3692307692307664,1.3692307692307664,9.4
walkthrough,2026,2,autopilot,13,1.7692307692307692,1.0,-11.715384615384611,11.715384615384611,12.546153846153844
walkthrough,2026,3,balanced,13,9.23076923076923,6.0,8.038461538461537,-8.038461538461537,13.561538461538463
walkthrough,2026,4,reacher,13,13.615384615384615,8.0,13.03076923076923,-13.03076923076923,14.907692307692308
walkthrough,2026,5,upside_chaser,13,9.692307692307692,7.0,7.184615384615383,-7.184615384615383,12.338461538461537
walkthrough,2026,6,safe_floor,13,6.0,4.0,-3.3769230769230782,3.3769230769230782,11.46923076923077
walkthrough,2026,7,balanced,13,9.307692307692308,7.0,2.623076923076925,-2.623076923076925,13.192307692307692
walkthrough,2026,8,chalk,13,3.3846153846153846,2.0,-7.284615384615386,7.284615384615386,8.53076923076923
walkthrough,2026,9,value_hawk,13,9.153846153846153,8.0,4.684615384615384,-4.684615384615384,9.592307692307692
walkthrough,2026,10,balanced,13,6.6923076923076925,6.0,2.461538461538463,-2.461538461538463,11.615384615384615
